Player,Mat,Inns,Overs,Mdns,Runs,Wkts,Ave,Econ,SR,4,5
Abdul Wahid,5,5,17,0,117,5,23.4,6.88,20.4,0,0
CN Ackermann,11,10,25,0,147,5,29.4,5.88,30,0,0
Ameel Mauroof,10,10,23,0,173,5,34.6,7.52,27.6,0,0
Amjad Sher,5,5,18,2,88,5,17.6,4.88,21.6,0,0
R Ankad,8,8,23.4,1,178,5,35.6,7.52,28.4,0,0
Anshuman Rath,20,13,33,0,264,5,52.8,8,39.6,0,0
Arshad Hayat,6,5,10,0,103,5,20.6,10.3,12,0,0
Babar Ali,3,3,9,0,70,5,14,7.77,10.8,0,0
V Baskaran,12,12,36,2,245,5,49,6.8,43.2,0,0
S Bhari,6,6,18,0,113,5,22.6,6.27,21.6,0,0
KJ Coetzer,58,5,11,0,71,5,14.2,6.45,13.2,0,0
H Dandapani,5,5,15,0,90,5,18,6,18,0,0
LA Dawson,6,6,20,0,152,5,30.4,7.6,24,0,0
DM de Silva,13,7,15,0,100,5,20,6.66,18,0,0
AC Douglas,10,2,4.2,0,30,5,6,6.92,5.2,0,1
R Frylinck,3,3,10,0,62,5,12.4,6.2,12,0,0
GC Galanis,2,2,4.2,0,32,5,6.4,7.38,5.2,0,0
WT Gavera,6,6,17,1,113,5,22.6,6.64,20.4,0,0
DAS Gunaratne,12,10,24.5,0,204,5,40.8,8.21,29.8,0,0
MD Gunathilaka,21,9,15.4,0,128,5,25.6,8.17,18.8,0,0
J Hurley,3,3,10,0,33,5,6.6,3.3,12,0,0
Imran Anwar,4,4,16,0,134,5,26.8,8.37,19.2,0,0
VJ Kingma,4,4,14.4,0,142,5,28.4,9.68,17.6,0,0
SC Kuggeleijn,9,9,26.5,0,260,5,52,9.68,32.2,0,0
R Kumar,4,3,12,0,98,5,19.6,8.16,14.4,0,0
P Mishra,3,3,9,0,37,5,7.4,4.11,10.8,0,0
DJ Mitchell,9,5,9.1,0,89,5,17.8,9.7,11,0,0
Mosaddek Hossain,14,12,21.4,0,160,5,32,7.38,26,0,0
Muhammad Nadeem,5,2,5,0,49,5,9.8,9.8,6,0,0
Muhammad Saleem,4,4,11,1,45,5,9,4.09,13.2,0,0
Muhammad Wafiq,4,4,16,1,114,5,22.8,7.12,19.2,0,0
DM Nakrani,4,4,12,0,93,5,18.6,7.75,14.4,0,0
W Nalisa,9,7,20,0,177,5,35.4,8.85,24,0,0
MW Parkinson,2,2,6,0,61,5,12.2,10.16,7.2,1,0
MIA Patel,3,3,12,0,83,5,16.6,6.91,14.4,0,0
NK Patel,4,4,13,1,61,5,12.2,4.69,15.6,0,0
SS Pathirana,5,5,15.5,0,119,5,23.8,7.51,19,0,0
K Pierre,8,8,23,0,203,5,40.6,8.82,27.6,0,0
J Rasu,13,2,3.5,0,44,5,8.8,11.47,4.6,0,1
DMW Rawlins,11,11,37,0,285,5,57,7.7,44.4,0,0
Raza Iqbal,5,4,13,0,85,5,17,6.53,15.6,0,0
LH Rodrigues,4,4,13,1,61,5,12.2,4.69,15.6,0,0
HAM Shah,9,4,10,0,86,5,17.2,8.6,12,1,0
KD Shah,26,9,24,1,190,5,38,7.91,28.8,0,0
V Shankar,9,6,21,0,191,5,38.2,9.09,25.2,0,0
Sharafuddin Ashraf,8,8,25,1,201,5,40.2,8.04,30,0,0
Sohail Khan,5,5,15,0,123,5,24.6,8.2,18,0,0
ACF Stokes,7,7,23.2,0,152,5,30.4,6.51,28,0,0
Tauqeer Hussain,4,4,9.3,0,48,5,9.6,5.05,11.4,0,0
Usama Master,6,5,13.1,0,106,5,21.2,8.05,15.8,0,0
W Viraliliu,10,9,20.2,0,164,5,32.8,8.06,24.4,0,0
S Waqas Ahmed,5,4,10,0,83,5,16.6,8.3,12,0,0
AA Westphal,5,5,19,0,65,5,13,3.42,22.8,0,0
BTJ Wheal,5,5,17.2,0,143,5,28.6,8.25,20.8,0,0
Yasar Haroon,4,4,13,1,72,5,14.4,5.53,15.6,0,0
Yasir Ali,9,5,9.5,0,52,5,10.4,5.28,11.8,0,0
Abul Hasan,5,5,14,0,148,4,37,10.57,21,0,0
Abu Jayed,3,3,11,0,106,4,26.5,9.63,16.5,0,0
Afif Hossain,8,5,10,1,79,4,19.75,7.9,15,0,0
SA Ahmad,5,3,9,1,40,4,10,4.44,13.5,0,0
D Ajekun,6,6,11.1,0,76,4,19,6.8,16.7,0,0
MA Aponso,3,3,10,0,79,4,19.75,7.9,15,0,0
Arslan Ahmed,3,3,9,1,40,4,10,4.44,13.5,0,0
Ashiqullah Said,3,3,11,0,82,4,20.5,7.45,16.5,0,0
A Aspiotis,3,3,11,0,71,4,17.75,6.45,16.5,0,0
Asrar Ahmed,3,3,10,2,46,4,11.5,4.6,15,0,0
R Avery,4,4,11,0,66,4,16.5,6,16.5,0,0
JD Baker,4,4,13,0,107,4,26.75,8.23,19.5,0,0
HH Banner,3,3,12,1,67,4,16.75,5.58,18,0,0
S Bau,23,10,14,0,79,4,19.75,5.64,21,0,0
TS Braat,3,3,10,0,70,4,17.5,7,15,0,0
J Bulele,7,5,14.2,0,107,4,26.75,7.46,21.5,0,0
DE Burgess,4,3,8.3,0,86,4,21.5,10.11,12.7,0,0
MD Dai,9,9,25,0,157,4,39.25,6.28,37.5,0,0
I Danladi,3,3,9,0,52,4,13,5.77,13.5,0,0
K Dasan,3,2,8,0,52,4,13,6.5,12,0,0
RR Emrit,4,4,16,0,156,4,39,9.75,24,0,0
S Goustis,3,3,9,1,42,4,10.5,4.66,13.5,0,0
Jandu Hamoud,6,6,16,0,112,4,28,7,24,0,0
MC Henriques,11,7,17,0,158,4,39.5,9.29,25.5,0,0
MG Hunter,4,4,11.3,0,63,4,15.75,5.47,17.2,0,0
Hussain Talat,14,6,6,0,54,4,13.5,9,9,0,0
AF Ifill,6,6,18.3,1,151,4,37.75,8.16,27.7,0,0
Imran Bulbulia,3,3,10,0,59,4,14.75,5.9,15,0,0
RK Inampud,3,3,12,0,68,4,17,5.66,18,0,0
DF Jacobs,4,2,5,0,26,4,6.5,5.2,7.5,1,0
MO Jones,8,7,15,0,116,4,29,7.73,22.5,0,0
S Kaul,3,3,9.4,0,84,4,21,8.68,14.5,0,0
S Kizilkaya,4,4,9,0,74,4,18.5,8.22,13.5,0,0
V Kohli,75,12,24.2,0,198,4,49.5,8.13,36.5,0,0
A Krishna,4,4,12,0,121,4,30.25,10.08,18,0,0
A Lark,5,4,10.5,0,55,4,13.75,5.07,16.2,0,0
T Lungameni,6,6,16,1,88,4,22,5.5,24,0,0
CS MacLeod,49,11,23,0,174,4,43.5,7.56,34.5,0,0
Mehidy Hasan Miraz,13,13,36,0,330,4,82.5,9.16,54,0,0
K Mendon,6,5,8.4,0,78,4,19.5,9,13,0,0
Mohammad Ahsan,6,6,20,0,192,4,48,9.6,30,0,0
C Munro,60,12,19.4,0,186,4,46.5,9.45,29.5,0,0
Najjam Shahzad,4,4,12.2,0,65,4,16.25,5.27,18.5,0,0
Nawroz Mangal,32,6,10,0,80,4,20,8,15,0,0
Nazril Rahman,7,7,17,0,166,4,41.5,9.76,25.5,0,0
SN Netravalkar,8,8,22.4,0,161,4,40.25,7.1,34,0,0
Nizakat Khan,34,5,14,0,83,4,20.75,5.92,21,0,0
GM Ntambalika,3,3,9,0,56,4,14,6.22,13.5,0,0
RR Patel,30,7,15,0,104,4,26,6.93,22.5,0,0
S Pillai,3,3,8.4,0,56,4,14,6.46,13,0,0
EB Ringera,1,1,4,0,18,4,4.5,4.5,6,1,0
S Rossi,5,3,6.5,2,21,4,5.25,3.07,10.2,0,0
Sahir Naqash,7,5,9,0,52,4,13,5.77,13.5,0,0
O Sam Arthur,3,3,9,0,76,4,19,8.44,13.5,0,0
MM Sarwar,5,4,10.4,0,99,4,24.75,9.28,16,0,0
A Sathya,3,3,11.3,0,76,4,19,6.6,17.2,0,0
L Shafeeg,3,3,11,0,76,4,19,6.9,16.5,0,0
NK Shetty,2,2,8,0,42,4,10.5,5.25,12,0,0
L Sipamla,5,5,15.4,0,131,4,32.75,8.36,23.5,0,0
DC Stovell,6,6,17.2,0,126,4,31.5,7.26,26,0,0
Syed Aziz,14,8,24.5,0,187,4,46.75,7.53,37.2,0,0
A Uniyal,3,3,9,1,59,4,14.75,6.55,13.5,0,0
Usman Ali,5,5,19,0,130,4,32.5,6.84,28.5,0,0
TCW Veillard,4,4,16,0,93,4,23.25,5.81,24,0,0
Waqas Barkat,22,10,21.2,0,152,4,38,7.12,32,0,0
SMK Waththage,5,5,12,3,66,4,16.5,5.5,18,0,0
SA Abbott,4,4,10,0,61,3,20.33,6.1,20,0,0
AS Abioye,5,4,10,0,87,3,29,8.7,20,0,0
A Ahmadhel,3,3,10,0,75,3,25,7.5,20,0,0
S Appu,4,4,9,0,74,3,24.66,8.22,18,0,0
MNM Aslam,6,5,14,0,85,3,28.33,6.07,28,0,0
TD Astle,3,3,8,0,69,3,23,8.62,16,0,0
V Ateak,4,3,11,0,94,3,31.33,8.54,22,0,0
G Bakiweyem,3,3,10,0,62,3,20.66,6.2,20,0,0
S Bantzas,1,1,3,0,12,3,4,4,6,0,0
F Behardien,38,3,5,0,27,3,9,5.4,10,0,0
P Bhart,5,4,12,1,68,3,22.66,5.66,24,0,0
PRP Boissevain,4,4,16,0,116,3,38.66,7.25,32,0,0
PR Brown,4,4,13,0,128,3,42.66,9.84,26,0,0
P Buccimazza,4,4,13,0,86,3,28.66,6.61,26,0,0
N Buckle,3,3,10,0,76,3,25.33,7.6,20,0,0
HL Carlyon,9,3,6,0,42,3,14,7,12,0,0
MS Chapman,24,4,10,0,77,3,25.66,7.7,20,0,0
M Chauhan,2,2,8,1,38,3,12.66,4.75,16,0,0
M Cope,2,2,5,0,61,3,20.33,12.2,10,0,0
BCJ Cutting,7,7,21,0,215,3,71.66,10.23,42,0,0
TH David,12,9,22.2,0,202,3,67.33,9.04,44.6,0,0
NS Dhaliwal,12,5,8,0,43,3,14.33,5.37,16,0,0
SDJJ Dima,4,2,5,0,57,3,19,11.4,10,0,0
S Dube,6,6,12.3,0,114,3,38,9.12,25,0,0
L Evile,4,4,12,1,67,3,22.33,5.58,24,0,0
P Florin,4,2,1.4,0,10,3,3.33,6,3.3,0,0
BC Fortuin,2,2,7,0,51,3,17,7.28,14,0,0
CJ Gannon,4,3,9,0,67,3,22.33,7.44,18,0,0
Hayatullah Niazi,4,4,10,0,81,3,27,8.1,20,0,0
J Hill,4,2,6,0,50,3,16.66,8.33,12,0,0
J Hirschi,4,4,11,0,96,3,32,8.72,22,0,0
Z Hoque,3,3,12,0,51,3,17,4.25,24,0,0
JJ Huo,7,3,10,0,56,3,18.66,5.6,20,0,0
Ijaz Hussain,3,3,9.5,0,89,3,29.66,9.05,19.6,0,0
D Jakiel,2,2,7,0,44,3,14.66,6.28,14,0,0
GSNFG Jayasuriya,16,10,21.5,0,202,3,67.33,9.25,43.6,0,0
Kaleemullah,6,6,19,1,132,3,44,6.94,38,0,0
Kaleem Shah,7,6,17,0,130,3,43.33,7.64,34,0,0
P Kerai,6,5,11,0,82,3,27.33,7.45,22,0,0
J Kila,12,9,17,0,99,3,33,5.82,34,0,0
AC Kose,4,2,8,0,116,3,38.66,14.5,16,0,0
CBRLS Kumara,3,3,12,0,97,3,32.33,8.08,24,0,0
UKPW Kumaranayaka,3,3,12,0,102,3,34,8.5,24,0,0
NCK Liyanage,6,5,14,0,100,3,33.33,7.14,28,0,0
S Mahmood,3,3,10,0,115,3,38.33,11.5,20,0,0
MSS Mandy,4,3,8,0,43,3,14.33,5.37,16,0,0
TS Mills,5,5,19,1,129,3,43,6.78,38,0,0
K Modise,3,2,5,0,41,3,13.66,8.2,10,0,0
Mohammad Ghazanfar,5,5,14,0,85,3,28.33,6.07,28,0,0
Mohammad Hasnain,4,4,16,0,137,3,45.66,8.56,32,0,0
Mohammed Siraj,3,3,12,0,148,3,49.33,12.33,24,0,0
Musa Shaheen,1,1,2.2,0,11,3,3.66,4.71,4.6,0,0
A Nathwani,5,4,10,0,79,3,26.33,7.9,20,0,0
MP O'Dowd,36,9,12.4,0,119,3,39.66,9.39,25.3,0,0
HC Overdijk,4,3,8,0,72,3,24,9,16,0,0
J Perman,2,2,8,0,41,3,13.66,5.12,16,0,0
R Pisal,1,1,3,0,4,3,1.33,1.33,6,0,0
D Pretorius,6,6,14,0,116,3,38.66,8.28,28,0,0
Raja Adeel,3,3,11,0,36,3,12,3.27,22,0,0
KB Ratilal,3,3,12,0,61,3,20.33,5.08,24,0,0
WJR Robertson,6,6,18.1,1,101,3,33.66,5.55,36.3,0,0
M Sert,4,4,10,0,93,3,31,9.3,20,0,0
Shiraz Khan,6,6,20,0,140,3,46.66,7,40,0,0
Shoaib Ali,5,5,15.3,0,129,3,43,8.32,31,0,0
DJM Short,20,9,19,0,151,3,50.33,7.94,38,0,0
Sikander Zulfiqar,11,7,10,0,79,3,26.33,7.9,20,0,0
KM Silva,3,2,3,0,18,3,6,6,6,0,0
M Simpson-Parker,3,3,5,0,40,3,13.33,8,10,0,0
S Singh,4,4,11,0,110,3,36.66,10,22,0,0
DC Smith,4,4,11,0,89,3,29.66,8.09,22,0,0
A Srivastav,4,3,8,0,73,3,24.33,9.12,16,0,0
H Ssenyondo,4,3,10,0,48,3,16,4.8,20,0,0
Suhail Sadiq,2,2,6,0,45,3,15,7.5,12,0,0
Syazrul Idrus,2,2,7,0,64,3,21.33,9.14,14,0,0
Tahir Dar,4,4,14,0,128,3,42.66,9.14,28,0,0
Tanveer Ahmed,5,5,13.3,0,116,3,38.66,8.59,27,0,0
SR Taylor,8,5,13,1,70,3,23.33,5.38,26,0,0
SF Tiai,4,4,11,0,82,3,27.33,7.45,22,0,0
BM Tickner,3,3,12,0,109,3,36.33,9.08,24,0,0
AJ Turner,11,3,6,0,42,3,14,7,12,0,0
Vichanath Singh,4,4,16,1,90,3,30,5.62,32,0,0
Virandeep Singh,12,8,17.2,0,135,3,45,7.78,34.6,0,0
SG Whittingham,3,3,10,0,79,3,26.33,7.9,20,0,0
S Wickramasekara,5,5,15.3,1,93,3,31,6,31,0,0
Zaki Ul Hassan,3,3,9,0,56,3,18.66,6.22,18,0,0
C Zavoiu,3,1,1,0,4,3,1.33,4,2,0,0
Zulqarnain Haider,5,5,13,0,60,3,20,4.61,26,0,0
Aamer Yamin,2,2,6,0,37,2,18.5,6.16,18,0,0
Aaron Jones,8,3,7,0,28,2,14,4,21,0,0
AG Achar,3,3,6,0,44,2,22,7.33,18,0,0
Ahmed Hassan,11,5,7.3,0,81,2,40.5,10.8,22.5,0,0
Ali Naqi,4,4,10,0,65,2,32.5,6.5,30,0,0
Anique Uddin,6,2,2.3,0,14,2,7,5.6,7.5,0,0
DNA Ankrah,4,4,12,1,85,2,42.5,7.08,36,0,0
Apon Mustafizur,2,1,3,0,30,2,15,10,9,0,0
Aqib Ilyas,22,4,9,0,59,2,29.5,6.55,27,0,0
S Arachchige,4,4,6,0,42,2,21,7,18,0,0
JC Archer,1,1,4,0,29,2,14.5,7.25,12,0,0
Ashfaq Ahmed,12,2,6,0,34,2,17,5.66,18,0,0
Atif Kamal,4,4,14,0,90,2,45,6.42,42,0,0
Aziz Mohammad,3,3,12,0,84,2,42,7,36,0,0
MO Bacarese,3,3,12,0,51,2,25.5,4.25,36,0,0
JT Ball,2,2,7,0,83,2,41.5,11.85,21,0,0
GG Banner,3,1,3.3,0,10,2,5,2.85,10.5,0,0
W Barresi,42,3,5.4,0,49,2,24.5,8.64,17,0,0
P Chandran,3,2,4,0,45,2,22.5,11.25,12,0,0
FA Cossa,6,5,14,0,110,2,55,7.85,42,0,0
DK Dahyabhai Ahir,2,2,3,0,27,2,13.5,9,9,0,0
N Dipakkumar Patel,3,3,10,0,42,2,21,4.2,30,0,0
K Dorji,2,2,7,0,69,2,34.5,9.85,21,0,0
Ehsan Nawaz,5,5,7.4,0,79,2,39.5,10.3,23,0,0
Fakhrul Mohon,4,4,14,2,85,2,42.5,6.07,42,0,0
V Ganesan,4,4,9,1,44,2,22,4.88,27,0,0
D Gim,6,4,6,0,65,2,32.5,10.83,18,0,0
Hafez Farooq,4,1,2,0,14,2,7,7,6,0,0
LHB Harrington-Myers,4,2,4,0,26,2,13,6.5,12,0,0
Imran Ashraf,3,3,9,0,78,2,39,8.66,27,0,0
J Jojo,7,5,17,0,98,2,49,5.76,51,0,0
Junaid Sheikh,5,5,16,1,104,2,52,6.5,48,0,0
D Kegasitswe,4,3,12,0,156,2,78,13,36,0,0
AK Kitchen,5,3,6,0,46,2,23,7.66,18,0,0
Kuldeep Lal,8,4,9,0,100,2,50,11.11,27,0,0
Lucky Ali,2,2,7,1,40,2,20,5.71,21,0,0
DSK Madushanka,2,2,5.1,0,62,2,31,12,15.5,0,0
R Mahajan,3,3,10,0,93,2,46.5,9.3,30,0,0
P Manning,6,4,8,0,53,2,26.5,6.62,24,0,0
B Masaba,1,1,4,0,14,2,7,3.5,12,0,0
H Masakadza,66,9,12,0,113,2,56.5,9.41,36,0,0
B Mavuta,3,3,12,0,81,2,40.5,6.75,36,0,0
Z McLaughlin,3,3,7.1,0,54,2,27,7.53,21.5,0,0
Mohameed Taiwo,2,2,8,0,41,2,20.5,5.12,24,0,0
Mohammad Adnan,5,5,17,0,120,2,60,7.05,51,0,0
Mohsin Hub,4,3,9,0,39,2,19.5,4.33,27,0,0
Muhammad Rafique,2,2,5,0,63,2,31.5,12.6,15,0,0
S Murari,3,3,10,0,52,2,26,5.2,30,0,0
LA Musiani,5,4,15,1,69,2,34.5,4.6,45,0,0
R Ngarava,1,1,4,0,48,2,24,12,12,0,0
F Nsubuga,3,3,8,0,46,2,23,5.75,24,0,0
L Nussbaumer,1,1,4,0,44,2,22,11,12,0,0
E Packard,4,4,11,0,79,2,39.5,7.18,33,0,0
NMS Param,8,3,8,0,55,2,27.5,6.87,24,0,0
HH Patel,7,5,13,0,104,2,52,8,39,0,0
N Pathan,4,4,6,0,60,2,30,10,18,0,0
R Powell,23,4,8,0,74,2,37,9.25,24,0,0
A Pusthay,5,4,10,0,90,2,45,9,30,0,0
S Rakshit,7,5,12.5,0,99,2,49.5,7.71,38.5,0,0
S Ravikumar,3,3,6.2,0,56,2,28,8.84,19,0,0
SI Runsewe,6,2,2.3,0,23,2,11.5,9.2,7.5,0,0
Sadeeq Khan,3,3,12,0,63,2,31.5,5.25,36,0,0
TK Saha,4,4,10,0,88,2,44,8.8,30,0,0
Sajid Liaqat,2,2,8,0,72,2,36,9,24,0,0
Sandeep Goud,12,2,6,0,48,2,24,8,18,0,0
Saqib Zulfiqar,6,4,9,0,61,2,30.5,6.77,27,0,0
Saqlain Ali,2,2,7,0,36,2,18,5.14,21,0,0
Sarfaraz Ali,4,3,8,0,60,2,30,7.5,24,0,0
P Sarraf,9,6,11,1,58,2,29,5.27,33,0,0
Shaffeq Muhammad,2,2,7,1,21,2,10.5,3,21,0,0
LA Simango,3,3,6.1,0,55,2,27.5,8.91,18.5,0,0
OF Smith,2,2,7,0,78,2,39,11.14,21,0,0
CB Sole,4,4,16,0,141,2,70.5,8.81,48,0,0
AL Stephen,2,2,7,0,29,2,14.5,4.14,21,0,0
MJ Swepson,1,1,4,0,37,2,18.5,9.25,12,0,0
T Taylor,6,4,9,0,74,2,37,8.22,27,0,0
T Turan,4,3,8.1,0,111,2,55.5,13.59,24.5,0,0
S Vashisht,3,3,9,1,31,2,15.5,3.44,27,0,0
Waqas Maqsood,1,1,1.5,0,21,2,10.5,11.45,5.5,0,0
C Wright,6,4,7,0,53,2,26.5,7.57,21,0,0
HN Ya France,6,6,13,0,82,2,41,6.3,39,0,0
Zain ul Tashnam,3,2,8,1,35,2,17.5,4.37,24,0,0
S Zargar,1,1,3,0,22,2,11,7.33,9,0,0
Ziaur Rahman,1,1,4,0,42,2,21,10.5,12,0,0
Adnan Idrees,6,3,7,0,67,1,67,9.57,42,0,0
N Advani,1,1,3,0,12,1,12,4,18,0,0
Aftab Ahmed (2),1,1,1,0,10,1,10,10,6,0,0
J Allen,2,2,2,0,19,1,19,9.5,12,0,0
TP Allen,5,2,3,0,28,1,28,9.33,18,0,0
Amir Mangal,9,5,6.4,0,57,1,57,8.55,40,0,0
Ariful Haque,9,1,1,0,13,1,13,13,6,0,0
B Arora,4,4,11.1,0,75,1,75,6.71,67,0,0
Asad Mohammad,9,8,24,0,158,1,158,6.58,144,0,0
Asghar Afghan,66,1,0.4,0,4,1,4,6,4,0,0
AA Banner,3,2,8,0,39,1,39,4.87,48,0,0
SR Bhudia,4,4,9,0,63,1,63,7,54,0,0
CC Blake,3,3,8,0,49,1,49,6.12,48,0,0
DL Brangman,5,5,7,0,84,1,84,12,42,0,0
A Carthew,4,1,2,0,19,1,19,9.5,12,0,0
RD Chahar,1,1,3,0,27,1,27,9,18,0,0
Charanjeet Singh,3,2,5,0,35,1,35,7,30,0,0
MS Crane,2,2,8,0,62,1,62,7.75,48,0,0
H Dajc,2,1,4,0,36,1,36,9,24,0,0
M Dixit,3,3,9,0,93,1,93,10.33,54,0,0
KR Ebanks,5,5,11,0,104,1,104,9.45,66,0,0
Faisal Khan,4,1,2,0,21,1,21,10.5,12,0,0
Fiaz Ahmad,3,3,5,0,56,1,56,11.2,30,0,0
KK Flowers,3,1,2,0,16,1,16,8,12,0,0
C Floyd,2,2,5,0,51,1,51,10.2,30,0,0
C Fry,3,3,7,1,62,1,62,8.85,42,0,0
MD Garratt,4,1,2.5,0,12,1,12,4.23,17,0,0
NA Greenwood,8,2,2,0,14,1,14,7,12,0,0
L Gregory,5,2,4,0,29,1,29,7.25,24,0,0
Hardev Singh,3,1,1,0,12,1,12,12,6,0,0
Haroon Arshad,10,8,13.5,0,108,1,108,7.8,83,0,0
Haroon Mughal,4,2,3,0,31,1,31,10.33,18,0,0
TM Head,16,3,4,0,39,1,39,9.75,24,0,0
R Hekure,8,6,4.5,0,37,1,37,7.65,29,0,0
S Hongsi,3,2,3,0,35,1,35,11.66,18,0,0
A Husain,5,4,10,0,51,1,51,5.1,60,0,0
GM Hyde,3,2,5,0,43,1,43,8.6,30,0,0
Ibrahim Rizan,5,4,8.1,0,63,1,63,7.71,49,0,0
Irfan Mir,4,4,15,0,73,1,73,4.86,90,0,0
E Isaneez,3,3,9.2,0,53,1,53,5.67,56,0,0
Ismat Ullah,4,2,4,0,16,1,16,4,24,0,0
Jaspreet Singh,5,2,5,0,53,1,53,10.6,30,0,0
D Kansonkho,7,3,7.3,0,60,1,60,8,45,0,0
N Khanna,2,2,4,0,47,1,47,11.75,24,0,0
B Khumalo,3,3,11,0,96,1,96,8.72,66,0,0
JH Kiani,4,1,4,0,26,1,26,6.5,24,0,0
H Lakov,3,3,12,1,72,1,72,6,72,0,0
CA Liyanage,2,2,5,0,47,1,47,9.4,30,0,0
J Long,2,1,2,0,26,1,26,13,12,0,0
NM Lyon,2,2,5,0,48,1,48,9.6,30,0,0
OC McCoy,2,1,3,0,44,1,44,14.66,18,0,0
Mahmad Data,2,2,5,0,31,1,31,6.2,30,0,0
A Makesh,4,4,9,1,79,1,79,8.77,54,0,0
DJ Malan,9,1,2,0,27,1,27,13.5,12,0,0
WJ Malinda,3,1,4,0,27,1,27,6.75,24,0,0
OM Marshall,3,2,3,0,22,1,22,7.33,18,0,0
T Maruma,13,2,3,0,20,1,20,6.66,18,0,0
WT Mashinge,2,2,5,0,57,1,57,11.4,30,0,0
N Master,2,1,4,0,30,1,30,7.5,24,0,0
Md Shafiqul Haque,4,1,3,0,25,1,25,8.33,18,0,0
DP Michael,4,1,3,0,32,1,32,10.66,18,0,0
SF Mire,9,5,12,0,115,1,115,9.58,72,0,0
Mohammad Boota,16,1,1,0,13,1,13,13,6,0,0
MR Montfort,1,1,3,0,25,1,25,8.33,18,0,0
Muhammad Tanveer,15,3,8,0,63,1,63,7.87,48,0,0
D Muhumuza,4,3,5,0,35,1,35,7,30,0,0
EMDY Munaweera,13,5,10,0,92,1,92,9.2,60,0,0
Murid Ekrami,3,3,5,0,37,1,37,7.4,30,0,0
NH Naureen,1,1,3,1,32,1,32,10.66,18,0,0
Naveed Ahmed,7,5,9,0,56,1,56,6.22,54,0,0
Nazakat Ali,2,2,3,0,16,1,16,5.33,18,0,0
A Ndlovu,3,3,11,0,90,1,90,8.18,66,0,0
R Neale,3,1,3,0,30,1,30,10,18,0,0
D Nikolov,3,2,4,0,36,1,36,9,24,0,0
K Nima,1,1,3,0,22,1,22,7.33,18,0,0
Noman Kamawi,1,1,3,0,28,1,28,9.33,18,0,0
E Ochieng,2,2,4,0,30,1,30,7.5,24,0,0
AM Oyede,8,3,8,0,44,1,44,5.5,48,0,0
RJG Palmer,2,2,4,0,27,1,27,6.75,24,0,0
Parvez Rasool,1,1,4,0,32,1,32,8,24,0,0
AY Patel,2,2,6,0,45,1,45,7.5,36,0,0
JE Pitcher,3,3,7,0,50,1,50,7.14,42,0,0
S Pokhriyal,5,1,2,0,22,1,22,11,12,0,0
Qasim Zia,3,3,9,0,68,1,68,7.55,54,0,0
Raag Kapur,4,3,7,0,49,1,49,7,42,0,0
Ravinder Singh,2,2,6,0,72,1,72,12,36,0,0
J Reb,2,1,3,0,40,1,40,13.33,18,0,0
GA Reynold,3,3,8,1,49,1,49,6.12,48,0,0
Riazat Ali Shah,4,3,7.4,0,58,1,58,7.56,46,0,0
R Rivas,3,1,4,0,45,1,45,11.25,24,0,0
Saber Zakhil,3,3,9,0,69,1,69,7.66,54,0,0
S Saeed,5,5,11,0,95,1,95,8.63,66,0,0
I Sawmy,2,1,3,0,12,1,12,4,18,0,0
Shahzad Muhammad,2,1,3,0,29,1,29,9.66,18,0,0
Shaikh Ashraf,4,2,4,0,34,1,34,8.5,24,0,0
RG Sharma,104,9,11.2,0,113,1,113,9.97,68,0,0
ZK Shem,5,3,6,0,72,1,72,12,36,0,0
BA Simango,2,1,3,0,21,1,21,7,18,0,0
T Singye,2,2,6,0,65,1,65,10.83,36,0,0
J Singye,2,2,8,0,69,1,69,8.62,48,0,0
JT Smuts,8,6,12.4,0,101,1,101,7.97,76,0,0
Sufyan Mehmood,3,3,5.3,0,39,1,39,7.09,33,0,0
Suhrid Roy,1,1,4,0,44,1,44,11,24,0,0
CR Suryawanshi,3,1,2,0,13,1,13,6.5,12,0,0
Tafseer Ali,5,3,4,0,37,1,37,9.25,24,0,0
Taijul Islam,2,2,7,0,58,1,58,8.28,42,0,0
BRM Taylor,38,2,5,0,17,1,17,3.4,30,0,0
JJ Tucker,5,4,7,0,62,1,62,8.85,42,0,0
C Vorster,1,1,3,0,32,1,32,10.66,18,0,0
Walid Ghauri,4,2,3.5,0,31,1,31,8.08,23,0,0
Washeem Abbas,2,2,8,0,70,1,70,8.75,48,0,0
T Whiteman,4,2,3.4,0,38,1,38,10.36,22,0,0
JD Wildermuth,2,2,3,0,32,1,32,10.66,18,0,0
Yusuf Ebrahim,3,3,7,1,44,1,44,6.28,42,0,0
Zawar Farid,4,2,4.1,0,35,1,35,8.4,25,0,0
C Zhuwao,7,1,0.2,0,1,1,1,3,2,0,0
Zohaib Sarwar,4,4,7,0,51,1,51,7.28,42,0,0
Abdullah Mahmood,1,1,1,0,9,0,-,9,-,0,0
Abdullah Sheikh,2,1,1,0,13,0,-,13,-,0,0
M Aboagye,3,1,1,0,17,0,-,17,-,0,0
RA Abolarin,1,1,0.4,0,7,0,-,10.5,-,0,0
S Adedeji,6,1,2,0,21,0,-,10.5,-,0,0
GJ Agius,2,2,5,0,53,0,-,10.6,-,0,0
Ahmed Shehzad,59,1,1,0,10,0,-,10,-,0,0
DS Airee,18,1,2,0,23,0,-,11.5,-,0,0
Ameer Saiyed,4,3,4,0,44,0,-,11,-,0,0
Ammad Uddin,4,1,0.1,0,1,0,-,6,-,0,0
